TYPO_NATIONALE;TG_BV;REFERENCE;MINIMUM;TRES_BON;BON;MOYEN;MEDIOCRE;MAUVAIS
M13;NON;18,4;5;0,94;0,78;0,55;0,3;0
P13;NON;18,4;5;0,94;0,78;0,55;0,3;0
TP13;NON;18,4;5;0,94;0,78;0,55;0,3;0
G1;NON;20;5;0,94;0,78;0,55;0,3;0
M1;NON;20;5;0,94;0,78;0,55;0,3;0
P1;NON;20;5;0,94;0,78;0,55;0,3;0
TP1;NON;20;5;0,94;0,78;0,55;0,3;0
G12;NON;17,4;1;0,94;0,78;0,55;0,3;0
M12-A;NON;17,4;1;0,94;0,78;0,55;0,3;0
P12-A;NON;17,4;1;0,94;0,78;0,55;0,3;0
TP12-A;NON;17,4;1;0,94;0,78;0,55;0,3;0
M12-B;NON;17,4;1;0,94;0,78;0,55;0,3;0
P12-B;NON;17,4;1;0,94;0,78;0,55;0,3;0
TP12-B;NON;17,4;1;0,94;0,78;0,55;0,3;0
TTGL;NON;18,1;1;0,94;0,78;0,55;0,3;0
TTGL;OUI;18,1;1;0,92;0,76;0,52;0,26;0
M9-A;NON;18,1;1;0,94;0,78;0,55;0,3;0
P9-A;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG9;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG9;OUI;18,1;1;0,92;0,76;0,52;0,26;0
G9;NON;18,1;1;0,94;0,78;0,55;0,3;0
M9;NON;18,1;1;0,94;0,78;0,55;0,3;0
P9;NON;18,1;1;0,94;0,78;0,55;0,3;0
TP9;NON;18,1;1;0,94;0,78;0,55;0,3;0
G9/10;NON;18,1;1;0,94;0,78;0,55;0,3;0
M9/10;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG9/21;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG9/21;OUI;18,1;1;0,92;0,76;0,52;0,26;0
G9-10/21;NON;19;5;0,94;0,78;0,55;0,3;0
M9-10/21;NON;19;5;0,94;0,78;0,55;0,3;0
G10;NON;18,1;1;0,94;0,78;0,55;0,3;0
M10;NON;18,1;1;0,94;0,78;0,55;0,3;0
P10;NON;18,1;1;0,94;0,78;0,55;0,3;0
TP10;NON;18,1;1;0,94;0,78;0,55;0,3;0
G10/4;NON;19;5;0,94;0,78;0,55;0,3;0
M10/4;NON;19;5;0,94;0,78;0,55;0,3;0
M4;NON;19;5;0,94;0,78;0,55;0,3;0
P4;NON;19;5;0,94;0,78;0,55;0,3;0
TP4;NON;19;5;0,94;0,78;0,55;0,3;0
TG22/10;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG22/10;OUI;18,1;1;0,92;0,76;0,52;0,26;0
GM22;NON;17,4;1;0,94;0,78;0,55;0,3;0
P22;NON;17,4;1;0,94;0,78;0,55;0,3;0
TP22;NON;17,4;1;0,94;0,78;0,55;0,3;0
MP18;NON;18,1;1;0,94;0,78;0,55;0,3;0
TP18;NON;18,1;1;0,94;0,78;0,55;0,3;0
G18/4;NON;19;5;0,94;0,78;0,55;0,3;0
M18/4;NON;19;5;0,94;0,78;0,55;0,3;0
P18/4;NON;19;5;0,94;0,78;0,55;0,3;0
C;;;;;;;;
